web-scraper-order,web-scraper-start-url,movies,
"1525943565-21813","https://bechdeltest.com/?list=all","Wandâfuru raifu","null"
"1525943565-20826","https://bechdeltest.com/?list=all","Finding Neverland","null"
"1525943565-18088","https://bechdeltest.com/?list=all","Bayonetta: Bloody Fate","null"
"1525943565-16888","https://bechdeltest.com/?list=all","Avengers: Infinity War","null"
"1525943565-18430","https://bechdeltest.com/?list=all","The Wolverine","null"
"1525943565-21258","https://bechdeltest.com/?list=all","The Wild Thornberrys Movie","null"
"1525943565-22603","https://bechdeltest.com/?list=all","Shag","null"
"1525943565-17310","https://bechdeltest.com/?list=all","Petersburg: a selfie","null"
"1525943565-23820","https://bechdeltest.com/?list=all","Desk Set","null"
"1525943565-20900","https://bechdeltest.com/?list=all","Raising Helen","null"
"1525943565-18845","https://bechdeltest.com/?list=all","Bridesmaids","null"
"1525943565-20876","https://bechdeltest.com/?list=all","Naruto the Movie: Ninja Clash in the Land of Snow","null"
"1525943565-22853","https://bechdeltest.com/?list=all","Out of Africa","null"
"1525943565-21677","https://bechdeltest.com/?list=all","Three to Tango","null"
"1525943565-20357","https://bechdeltest.com/?list=all","Barnyard","null"
"1525943565-19203","https://bechdeltest.com/?list=all","Charlie St. Cloud","null"
"1525943565-23981","https://bechdeltest.com/?list=all","The Day the Earth Stood Still","null"
"1525943565-17946","https://bechdeltest.com/?list=all","Pompeii","null"
"1525943565-17756","https://bechdeltest.com/?list=all","Da Sweet Blood of Jesus","null"
"1525943565-21177","https://bechdeltest.com/?list=all","Life or Something Like It","null"
"1525943565-21306","https://bechdeltest.com/?list=all","Ghosts of Mars","null"
"1525943565-19475","https://bechdeltest.com/?list=all","Womb","null"
"1525943565-22112","https://bechdeltest.com/?list=all","Nadie hablara de nosotras cuando hayamos muerto","null"
"1525943565-18134","https://bechdeltest.com/?list=all","Cutie and the Boxer","null"
"1525943565-24331","https://bechdeltest.com/?list=all","Search for Beauty","null"
"1525943565-18390","https://bechdeltest.com/?list=all","Teen Beach Movie","null"
"1525943565-20155","https://bechdeltest.com/?list=all","Evening","null"
"1525943565-22225","https://bechdeltest.com/?list=all","Serial Mom","null"
"1525943565-24537","https://bechdeltest.com/?list=all","Bluebeard","null"
"1525943565-20730","https://bechdeltest.com/?list=all","The Sun","null"
"1525943565-24561","https://bechdeltest.com/?list=all","Tables Turned on the Gardener","null"
"1525943565-18839","https://bechdeltest.com/?list=all","The Big Year","null"
"1525943565-17089","https://bechdeltest.com/?list=all","Valerian and the City of a Thousand Planets","null"
"1525943565-19589","https://bechdeltest.com/?list=all","Echelon Conspiracy","null"
"1525943565-18173","https://bechdeltest.com/?list=all","Filth","null"
"1525943565-21366","https://bechdeltest.com/?list=all","Moulin Rouge!","null"
"1525943565-17271","https://bechdeltest.com/?list=all","Me Before You","null"
"1525943565-20971","https://bechdeltest.com/?list=all","Coffee and Cigarettes","null"
"1525943565-20259","https://bechdeltest.com/?list=all","Rush Hour 3","null"
"1525943565-18045","https://bechdeltest.com/?list=all","+1","null"
"1525943565-21490","https://bechdeltest.com/?list=all","J.S.A.: Joint Security Area","null"
"1525943565-24516","https://bechdeltest.com/?list=all","A Funny Shave","null"
